,1st_MAE,1st_MAPE,1st_sMAPE,mean_MAE,mean_MAPE,mean_sMAPE,median_MAE,median_MAPE,median_sMAPE
2,85.00735473632812,inf,2.0,156.9263153076172,inf,1.518973708152771,112.09159088134766,0.9701363444328308,1.8840091228485107
3,111.2542724609375,inf,2.0,169.99566650390625,inf,1.5843089818954468,128.6781005859375,1.0968343019485474,2.0
4,123.4002685546875,inf,2.0,170.99472045898438,inf,1.5794103145599365,133.020263671875,1.1256519556045532,2.0
5,130.84347534179688,inf,2.0,172.6634063720703,inf,1.5819138288497925,136.26544189453125,1.1491745710372925,2.0
6,126.23348999023438,inf,2.0,165.7040557861328,inf,1.542144775390625,130.232421875,1.1065541505813599,2.0
7,108.08126831054688,inf,2.0,147.4681396484375,inf,1.4438128471374512,111.62600708007812,0.9723933935165405,1.8925402164459229
8,80.16738891601562,inf,2.0,121.51968383789062,inf,1.3083652257919312,84.57086181640625,0.7828513383865356,1.2863692045211792
9,61.183746337890625,inf,2.0,105.3971176147461,inf,1.212717890739441,67.04147338867188,0.6654804944992065,0.9973334670066833
10,29.331527709960938,inf,2.0,77.15642547607422,inf,0.9725435376167297,37.25105285644531,0.4495846927165985,0.5794764757156372
11,15.105239868164062,inf,2.0,65.98624420166016,inf,0.8536786437034607,24.922683715820312,0.3664315640926361,0.4433210492134094
12,4.7554168701171875,inf,2.0,54.91592025756836,inf,0.6850106716156006,13.768341064453125,0.26122260093688965,0.2900407910346985
13,11.097091674804688,inf,2.0,54.275367736816406,inf,0.6844913363456726,13.447845458984375,0.24623338878154755,0.2647128105163574
14,63.42120361328125,inf,2.0,100.48483276367188,inf,1.1804132461547852,64.509521484375,0.6361553072929382,0.9328852891921997
15,121.357421875,inf,2.0,146.16357421875,inf,1.4175163507461548,121.357421875,0.9848963022232056,1.9404841661453247
16,156.35720825195312,inf,2.0,171.40054321289062,inf,1.5332273244857788,156.35720825195312,1.1832491159439087,2.0
17,172.63458251953125,inf,2.0,179.41497802734375,inf,1.5585857629776,172.63458251953125,1.2589342594146729,2.0
18,188.59967041015625,inf,2.0,189.92225646972656,inf,1.596765398979187,187.4986572265625,1.3526558876037598,2.0
19,165.01300048828125,inf,2.0,164.52975463867188,inf,1.4688442945480347,162.64837646484375,1.152752161026001,2.0
20,181.49530029296875,inf,2.0,180.62911987304688,inf,1.545575737953186,179.11441040039062,1.273041009902954,2.0
21,142.85760498046875,inf,2.0,143.51304626464844,inf,1.3654954433441162,140.57846069335938,0.9874710440635681,1.9505044221878052
22,144.95883178710938,inf,2.0,147.3677520751953,inf,1.3873159885406494,143.84426879882812,1.015601634979248,2.0
23,111.84515380859375,inf,2.0,118.49457550048828,inf,1.252544641494751,110.75042724609375,0.7864242196083069,1.2960447072982788
24,84.327880859375,inf,2.0,96.20660400390625,inf,1.1463929414749146,84.327880859375,0.6298922300338745,0.9134880304336548
25,59.317626953125,inf,2.0,77.6669692993164,inf,1.0284326076507568,59.317626953125,0.4811251759529114,0.6232317686080933
26,13.886123657226562,inf,2.0,49.22278594970703,inf,0.7521074414253235,14.886123657226562,0.2629931569099426,0.2713766396045685
27,5.8621368408203125,inf,2.0,47.24277877807617,inf,0.6684182286262512,13.62591552734375,0.258219838142395,0.24866999685764313
28,35.83869934082031,inf,2.0,64.78912353515625,inf,0.7629212737083435,35.83869934082031,0.402658075094223,0.3556461036205292
29,29.099960327148438,inf,2.0,59.91789245605469,inf,0.7385983467102051,29.099960327148438,0.35558196902275085,0.3220900297164917
30,31.39703369140625,inf,2.0,61.77989196777344,inf,0.7485300898551941,31.39703369140625,0.3782254755496979,0.3354324400424957
31,6.564971923828125,inf,2.0,47.71867370605469,inf,0.6710121035575867,13.668121337890625,0.2592909634113312,0.2480275183916092
32,3.260894775390625,inf,2.0,46.05481719970703,inf,0.713152289390564,13.03631591796875,0.25708314776420593,0.2512461245059967
33,22.703445434570312,inf,2.0,54.08258056640625,inf,0.8029651641845703,22.703445434570312,0.2921442687511444,0.3193259835243225
34,20.670455932617188,inf,2.0,52.85828399658203,inf,0.7896770238876343,20.670455932617188,0.2858327329158783,0.3048565983772278
35,21.26446533203125,inf,2.0,53.47343826293945,inf,0.7957903742790222,21.26446533203125,0.2886345386505127,0.3097154498100281
36,8.136795043945312,inf,2.0,47.744686126708984,inf,0.7290984392166138,13.235176086425781,0.2554577887058258,0.25651299953460693
37,2.2181243896484375,inf,2.0,46.34465789794922,inf,0.6516608595848083,12.90264892578125,0.24999767541885376,0.2431490570306778
38,2.0450286865234375,inf,2.0,46.42176818847656,inf,0.6505594849586487,12.954177856445312,0.24908144772052765,0.24385832250118256
39,3.1094818115234375,inf,2.0,46.562015533447266,inf,0.7131798267364502,13.046966552734375,0.25823143124580383,0.2529503405094147
40,2.05340576171875,inf,2.0,46.42564010620117,inf,0.7088428139686584,13.16851806640625,0.25836342573165894,0.2568390667438507
41,3.5036468505859375,inf,2.0,47.099822998046875,inf,0.716488242149353,13.94781494140625,0.2731826901435852,0.2640230655670166
42,37.52363586425781,inf,2.0,60.13555908203125,inf,0.8589026927947998,37.52363586425781,0.33026090264320374,0.35919198393821716
43,4.2492523193359375,inf,2.0,49.7392463684082,inf,0.7277818322181702,15.643646240234375,0.29718726873397827,0.2857394218444824
44,16.553817749023438,inf,2.0,52.18561935424805,inf,0.754802942276001,17.457962036132812,0.2959437072277069,0.291290819644928
45,32.89915466308594,inf,2.0,57.94126510620117,inf,0.8224765062332153,32.89915466308594,0.3193719685077667,0.33141833543777466
46,9.317031860351562,inf,2.0,52.36172866821289,inf,0.7407726645469666,15.953964233398438,0.31260210275650024,0.2937847971916199
47,12.1978759765625,inf,2.0,52.86616897583008,inf,0.7457401752471924,15.535354614257812,0.3063144385814667,0.2927466332912445
48,14.714096069335938,inf,2.0,53.501243591308594,inf,0.7521460056304932,16.069931030273438,0.30737605690956116,0.2946271598339081
49,6.028564453125,inf,2.0,53.41435623168945,inf,0.7398524880409241,17.04254150390625,0.32229846715927124,0.305711954832077
