1.891e+02,1.695e+02,1.347e+02,1.214e+02,9.651e+01,8.912e+01,8.551e+01
7.710e+01,7.614e+01,7.244e+01,6.496e+01,6.450e+01,6.013e+01,5.753e+01
5.809e+01,6.010e+01,5.489e+01,4.820e+01,4.857e+01,4.700e+01,4.461e+01
4.473e+01,4.378e+01,4.142e+01,3.735e+01,3.756e+01,3.626e+01,3.488e+01
3.784e+01,3.678e+01,3.539e+01,3.374e+01,3.439e+01,3.292e+01,3.195e+01
3.633e+01,3.472e+01,3.352e+01,3.195e+01,3.252e+01,3.198e+01,3.089e+01
3.457e+01,3.365e+01,3.226e+01,3.086e+01,3.159e+01,3.072e+01,3.023e+01
3.361e+01,3.244e+01,3.173e+01,3.027e+01,3.070e+01,3.076e+01,3.041e+01
3.311e+01,3.207e+01,3.139e+01,3.019e+01,3.041e+01,2.997e+01,2.951e+01
3.252e+01,3.135e+01,3.112e+01,2.993e+01,3.015e+01,2.921e+01,2.881e+01
3.184e+01,3.083e+01,3.015e+01,2.877e+01,2.959e+01,2.870e+01,2.876e+01
3.154e+01,3.034e+01,2.943e+01,2.845e+01,2.916e+01,2.823e+01,2.788e+01
3.100e+01,3.020e+01,2.905e+01,2.871e+01,3.014e+01,2.876e+01,2.783e+01
3.159e+01,3.055e+01,2.981e+01,2.864e+01,2.922e+01,2.836e+01,2.763e+01
3.135e+01,3.116e+01,2.978e+01,2.832e+01,2.957e+01,2.858e+01,2.796e+01
3.045e+01,3.001e+01,2.923e+01,2.785e+01,2.870e+01,2.753e+01,2.746e+01
3.011e+01,3.017e+01,2.990e+01,2.740e+01,2.921e+01,2.896e+01,2.788e+01
3.050e+01,2.972e+01,2.943e+01,2.813e+01,2.880e+01,2.675e+01,2.739e+01
3.035e+01,2.937e+01,2.912e+01,2.787e+01,2.853e+01,2.761e+01,2.683e+01
3.120e+01,3.147e+01,2.930e+01,2.707e+01,2.835e+01,2.733e+01,2.652e+01
2.960e+01,2.960e+01,2.862e+01,2.655e+01,2.786e+01,2.772e+01,2.654e+01
2.938e+01,2.942e+01,2.811e+01,2.647e+01,2.749e+01,2.648e+01,2.559e+01
