2.474e+02,3.099e+02,2.783e+02,2.359e+02,2.135e+02,2.231e+02,1.375e+02,7.333e+01,6.778e+01,1.378e+02,1.047e+02,1.084e+02,6.715e+01,1.235e+02,1.189e+02,7.391e+01,3.417e+01,1.624e+01,4.151e+01,5.671e+01,7.884e+01,5.392e+01,9.136e+00,4.457e+01,6.359e+01,9.084e+01,7.473e+01,4.060e+01
1.070e+02,3.368e+01,5.075e+01,5.189e+01,5.488e+01,3.109e+01,7.918e+00,1.459e+01,1.608e+01,4.831e+01,3.235e+01,2.774e+01,2.388e+01,1.514e+01,2.654e+01,1.923e+01,2.476e+01,2.285e+01,1.304e+01,7.398e+00,1.680e+01,1.696e+01,7.483e+00,2.499e+01,1.965e+01,1.242e+01,7.949e+00,3.309e+00
8.708e+01,1.426e+01,1.402e+01,8.876e+00,1.646e+01,1.548e+01,2.531e+01,2.402e+01,1.758e+01,8.681e+00,9.236e+00,1.695e+01,1.760e+01,1.248e+01,4.384e+00,1.060e+01,1.868e+01,1.989e+01,1.381e+01,4.878e+00,7.502e+00,1.440e+01,1.483e+01,1.716e+01,5.024e+00,1.026e+01,1.617e+01,1.716e+01
8.380e+01,4.522e+00,9.500e+00,1.297e+01,1.069e+01,6.936e+00,2.258e+00,1.002e+01,1.259e+01,1.289e+01,9.902e+00,6.618e+00,6.721e+00,1.219e+01,1.079e+01,5.373e+00,4.344e+00,8.768e+00,1.862e+01,1.349e+01,7.949e+00,1.036e+01,7.929e+00,6.642e+00,1.574e+00,1.874e+00,2.390e+00,3.538e+00
7.509e+01,2.200e+00,2.039e+00,1.261e+00,6.060e+00,4.787e+00,3.967e+00,6.589e+00,1.066e+01,1.312e+01,5.263e+00,1.077e+01,1.332e+01,1.193e+01,6.806e+00,2.777e+00,5.790e+00,5.310e+00,2.200e+00,1.751e+00,6.711e+00,5.712e+00,5.491e-01,7.111e+00,1.103e+01,1.120e+01,5.430e+00,5.077e+00
6.986e+01,1.227e+01,1.165e+01,7.776e+00,5.496e+00,1.232e+01,2.178e+01,2.247e+01,1.909e+01,1.331e+01,2.261e+00,1.111e+01,1.957e+01,2.242e+01,2.135e+01,1.484e+01,5.044e+00,6.842e+00,1.556e+01,1.616e+01,1.504e+01,9.578e+00,1.040e+00,3.836e+00,2.967e+00,3.042e+00,3.350e+00,1.836e+00
6.561e+01,2.236e+00,6.227e-01,1.559e+00,2.148e+00,5.426e+00,6.883e+00,3.784e+00,2.896e+00,5.039e+00,3.086e+00,2.124e+00,3.603e+00,2.235e+00,3.902e+00,7.961e+00,5.951e+00,1.142e+00,3.986e+00,1.971e+00,6.165e+00,7.460e+00,4.789e+00,5.119e+00,1.008e+01,1.509e+01,1.468e+01,1.067e+01
6.171e+01,5.035e+00,9.594e+00,9.945e+00,7.985e+00,1.163e+00,3.352e+00,1.727e+00,3.400e+00,3.426e+00,2.106e+00,4.533e+00,6.759e+00,6.000e+00,4.027e+00,8.783e+00,1.259e+01,1.207e+01,9.025e+00,2.123e+00,9.615e+00,1.456e+01,1.557e+01,1.250e+01,7.418e+00,1.211e+00,5.382e+00,5.868e+00
5.839e+01,1.126e+00,3.903e+00,4.215e+00,1.350e+00,4.693e+00,6.994e+00,5.136e+00,1.417e+00,6.168e+00,2.085e+00,6.588e-01,1.811e+00,2.687e+00,4.117e+00,6.308e+00,3.605e+00,2.607e+00,3.898e+00,2.336e+00,2.755e+00,4.784e+00,2.699e+00,5.197e+00,1.048e+01,1.463e+01,1.417e+01,1.060e+01
5.477e+01,2.770e+00,3.385e+00,1.678e+00,4.070e+00,4.930e+00,5.861e+00,2.583e+00,3.597e+00,4.509e+00,4.310e+00,1.948e+00,7.798e+00,1.115e+01,1.051e+01,6.258e+00,9.830e-01,4.139e+00,7.418e+00,3.775e+00,8.916e+00,1.101e+01,9.654e+00,4.380e+00,2.539e+00,3.888e+00,3.662e+00,9.178e-01
5.142e+01,1.079e+00,1.123e+00,1.176e+00,4.954e+00,2.236e+00,5.840e+00,6.275e+00,3.469e+00,3.975e+00,4.215e+00,2.271e+00,2.781e+00,4.318e+00,2.943e+00,4.181e+00,5.772e+00,3.623e+00,2.686e+00,3.412e+00,3.693e-01,4.837e+00,6.263e+00,4.605e+00,7.971e-01,2.200e+00,2.609e-01,1.466e+00
