,1st_MAE,1st_MAPE,1st_sMAPE,mean_MAE,mean_MAPE,mean_sMAPE,median_MAE,median_MAPE,median_sMAPE
0,74.44384765625,0.30635327100753784,0.36176761984825134,96.11041259765625,inf,0.4963865578174591,45.85658264160156,0.25099530816078186,0.26235631108283997
1,79.73464965820312,0.32812613248825073,0.39252498745918274,83.74344635009766,inf,0.48449811339378357,40.622344970703125,0.2813991606235504,0.30694398283958435
2,65.47836303710938,0.2694582939147949,0.3114149570465088,70.41238403320312,inf,0.4089023768901825,29.995880126953125,0.19606724381446838,0.20652981102466583
3,65.11346435546875,0.2679566442966461,0.30941101908683777,61.61281967163086,inf,0.3741641640663147,26.511444091796875,0.1805797815322876,0.18826691806316376
4,59.08256530761719,0.2431381344795227,0.2767868638038635,56.763763427734375,inf,0.4118857681751251,25.04266357421875,0.1772659569978714,0.18575139343738556
5,49.8284912109375,0.20505551993846893,0.22848118841648102,51.83986282348633,inf,0.3409707248210907,21.097808837890625,0.15365007519721985,0.1575705111026764
6,48.71846008300781,0.20048749446868896,0.22282421588897705,48.39352035522461,inf,0.38347527384757996,21.928955078125,0.16138391196727753,0.15960870683193207
7,47.061187744140625,0.1936674416065216,0.21443165838718414,44.319786071777344,inf,0.31846103072166443,19.312171936035156,0.14279894530773163,0.14287936687469482
8,47.73289489746094,0.19643166661262512,0.21782559156417847,43.224281311035156,inf,0.3111853003501892,18.393707275390625,0.14266812801361084,0.14361807703971863
9,49.60017395019531,0.20411594212055206,0.2273152768611908,42.44042205810547,inf,0.3423231542110443,20.43304443359375,0.1449735164642334,0.145779088139534
10,50.166168212890625,0.2064451426267624,0.23020777106285095,40.728172302246094,inf,0.297452837228775,18.33197021484375,0.14183230698108673,0.1414128541946411
11,53.876953125,0.22171585261821747,0.24935930967330933,40.712364196777344,inf,0.3269112706184387,19.48101806640625,0.13946276903152466,0.14019860327243805
12,55.00450134277344,0.22635596990585327,0.2552439868450165,39.55478286743164,inf,0.29210585355758667,17.758346557617188,0.13377554714679718,0.13645869493484497
13,56.22929382324219,0.23139627277851105,0.26167115569114685,39.462039947509766,inf,0.31010815501213074,18.573959350585938,0.13617810606956482,0.1374041885137558
14,55.20106506347656,0.2271648794412613,0.25627297163009644,38.65039825439453,inf,0.2888282537460327,18.104461669921875,0.13410833477973938,0.134600430727005
15,54.89483642578125,0.2259046733379364,0.25467029213905334,38.41933059692383,inf,0.3022620379924774,17.93927001953125,0.13477662205696106,0.13629718124866486
16,53.4774169921875,0.2200716733932495,0.2472815066576004,37.81064987182617,inf,0.2923501431941986,17.38336181640625,0.13151705265045166,0.13378582894802094
