,1st_MAE,1st_MAPE,1st_sMAPE,mean_MAE,mean_MAPE,mean_sMAPE,median_MAE,median_MAPE,median_sMAPE
0,62.02680969238281,4064989.0,2.0,73.37987518310547,1028719.125,0.8057678937911987,54.227020263671875,0.3380073010921478,0.3659336268901825
1,76.5462875366211,5016537.5,2.0,79.01667022705078,1269300.0,0.822358250617981,62.34326171875,0.36644676327705383,0.39351895451545715
2,62.823341369628906,4117190.5,2.0,70.37969207763672,1041975.4375,0.7985899448394775,52.484954833984375,0.3292050361633301,0.34627053141593933
3,38.474769592285156,2521482.5,2.0,54.8707389831543,638645.75,0.7518175840377808,37.45658874511719,0.25365495681762695,0.26839756965637207
4,17.339981079101562,1136393.0,2.0,44.3742561340332,288532.0,0.7089256644248962,17.339981079101562,0.2263040989637375,0.24136631190776825
5,7.9567718505859375,521455.0,1.9999923706054688,45.719322204589844,130581.53125,0.8055587410926819,18.29388427734375,0.30272015929222107,0.35511282086372375
6,37.52915954589844,2459511.0,1.9999983310699463,65.75968933105469,620549.8125,1.0113592147827148,41.13127136230469,0.45563989877700806,0.5890637636184692
7,48.11094665527344,3152999.0,1.999998688697815,69.12693786621094,795831.0,1.0403271913528442,48.11094665527344,0.4898090958595276,0.6467334032058716
8,66.90556335449219,4384723.0,1.9999990463256836,78.4341812133789,1107185.75,1.1035912036895752,66.90556335449219,0.571243166923523,0.7990191578865051
9,79.64816284179688,5219822.0,1.9999992847442627,81.9765396118164,1318247.5,1.1200188398361206,79.64816284179688,0.606060802936554,0.8691903948783875
10,89.06503295898438,5836966.0,1.9999992847442627,83.06739044189453,1474197.0,1.1161766052246094,85.56990051269531,0.6099152565002441,0.8774745464324951
11,101.69743347167969,6664843.0,1.9999994039535522,85.63274383544922,1683399.75,1.1116747856140137,90.035888671875,0.6210588812828064,0.8950332999229431
12,82.42097473144531,5401541.0,1.9999992847442627,68.2189712524414,1363853.75,0.9854222536087036,69.43324279785156,0.41925641894340515,0.5117825865745544
13,100.45356750488281,6583325.0,1.9999994039535522,78.57473754882812,1662559.75,1.0207151174545288,81.75146484375,0.46594423055648804,0.5903241634368896
14,115.69078063964844,7581911.0,1.9999995231628418,87.51483917236328,1914933.25,1.0401533842086792,92.33916473388672,0.5053834319114685,0.6288957595825195
15,124.60783386230469,8166299.0,1.9999995231628418,94.23184967041016,2062530.625,1.0334794521331787,100.3961181640625,0.5156354308128357,0.5491669774055481
16,137.1690216064453,8989509.0,1.9999995231628418,104.78349304199219,2270499.75,1.0407899618148804,113.89540100097656,0.571294367313385,0.5390928387641907
17,160.63075256347656,10527097.0,1.9999996423721313,121.30558013916016,2659080.25,1.0692451000213623,133.20635986328125,0.6656994819641113,0.6085457801818848
18,183.82701110839844,12047287.0,1.9999996423721313,138.9781494140625,3043251.25,1.0944457054138184,153.22296142578125,0.7517099976539612,0.6622631549835205
19,222.0495147705078,14552237.0,1.999999761581421,159.1759490966797,3676520.25,1.1428251266479492,177.88966369628906,0.8455246686935425,0.943645715713501
20,238.02024841308594,15598895.0,1.999999761581421,175.512939453125,3940978.0,1.1543992757797241,196.800048828125,0.9525076746940613,0.8696790337562561
21,255.3843536376953,16736869.0,1.999999761581421,199.3934326171875,4228438.5,1.169736623764038,220.72891235351562,1.1022372245788574,0.8226314783096313
22,290.11956787109375,19013276.0,1.9999995231628418,226.38491821289062,4803828.5,1.203467845916748,251.95062255859375,1.2444772720336914,0.9171271324157715
23,330.5447998046875,21662584.0,1.9999996423721313,252.17041015625,5473565.0,1.239945411682129,284.56866455078125,1.3707959651947021,1.2815271615982056
24,345.91741943359375,22670044.0,2.0,270.4931335449219,5728131.5,1.252376914024353,301.575927734375,1.4823726415634155,1.1951574087142944
25,371.42047119140625,24341412.0,1.9999996423721313,286.0309143066406,6150720.5,1.2757561206817627,321.89361572265625,1.5606058835983276,1.6388605833053589
26,375.70904541015625,24622468.0,1.9999996423721313,298.0420227050781,6221694.0,1.2811495065689087,334.3482666015625,1.6589056253433228,1.401847243309021
27,409.0899658203125,26810120.0,1.9999996423721313,321.8404846191406,6774711.5,1.3044716119766235,363.33953857421875,1.7827038764953613,1.7566193342208862
28,455.37628173828125,29843540.0,1.999999761581421,347.6939697265625,7541645.5,1.3347152471542358,397.55029296875,1.8776812553405762,1.999999761581421
29,399.82403564453125,26202868.0,1.9999996423721313,330.1797790527344,6621203.0,1.3073776960372925,364.3470764160156,1.8808094263076782,1.2968398332595825
30,396.69671630859375,25997916.0,1.9999996423721313,326.4142150878906,6569576.5,1.3102141618728638,363.54998779296875,1.87922203540802,1.438281774520874
31,395.55755615234375,25923260.0,1.9999996423721313,326.8369445800781,6550857.0,1.315277338027954,366.99737548828125,1.9063814878463745,1.5338119268417358
32,342.073486328125,22418128.0,1.9999996423721313,314.05230712890625,5664614.0,1.294359803199768,335.4276123046875,1.9639238119125366,1.0720652341842651
33,347.4112548828125,22767944.0,2.0,301.6154479980469,5753381.5,1.2941609621047974,334.044677734375,1.8733590841293335,1.1182957887649536
34,346.21923828125,22689824.0,1.9999996423721313,295.24725341796875,5733844.5,1.2978547811508179,331.2520751953125,1.8130477666854858,1.2867473363876343
35,282.295654296875,18500528.0,1.9999995231628418,280.1184387207031,4674589.5,1.272720456123352,282.295654296875,1.8474681377410889,1.0376170873641968
36,286.75030517578125,18792468.0,2.0,280.20184326171875,4748539.0,1.2772225141525269,286.68817138671875,1.8554054498672485,1.0458390712738037
37,318.051025390625,20843792.0,1.9999996423721313,290.819580078125,5267332.5,1.2937273979187012,313.92022705078125,1.9114680290222168,1.0838849544525146
38,327.81353759765625,21483588.0,1.9999996423721313,292.15472412109375,5429221.5,1.3000953197479248,321.09930419921875,1.8958582878112793,1.1522676944732666
39,335.61865234375,21995104.0,2.0,293.0794372558594,5558683.0,1.3064299821853638,327.6774597167969,1.8894569873809814,1.3031121492385864
40,335.80712890625,22007456.0,1.9999996423721313,293.61932373046875,5561939.5,1.3120203018188477,328.74957275390625,1.9008078575134277,1.4667458534240723
41,292.76519775390625,19186660.0,1.9999996423721313,291.6213073730469,4848600.5,1.2992609739303589,292.76519775390625,1.988879680633545,1.086503028869629
42,319.78662109375,20957536.0,1.9999996423721313,298.0321044921875,5296515.0,1.3112338781356812,318.07635498046875,2.0226893424987793,1.1322906017303467
43,360.45977783203125,23623092.0,1.9999996423721313,312.1868591308594,5970649.0,1.3347162008285522,354.08123779296875,2.027660846710205,1.8778241872787476
44,389.1749267578125,25504968.0,1.9999996423721313,315.99560546875,6446820.0,1.3561042547225952,375.4336242675781,1.9571523666381836,1.9999996423721313
45,368.31805419921875,24138092.0,1.9999996423721313,317.1423034667969,6101122.0,1.3459978103637695,363.8210754394531,2.076937675476074,1.9999996423721313
46,353.65301513671875,23177004.0,1.9999996423721313,312.3331604003906,5858216.5,1.3422980308532715,351.529052734375,2.062091827392578,1.9999996423721313
47,346.86798095703125,22732340.0,2.0,303.801025390625,5746091.5,1.3439557552337646,345.69244384765625,1.9984707832336426,1.9999996423721313
48,336.9959716796875,22085368.0,2.0,295.9171447753906,5582807.5,1.3481844663619995,336.48394775390625,1.9683218002319336,2.0
49,309.228759765625,20265616.0,2.0,292.9801025390625,5122666.0,1.3413994312286377,309.228759765625,2.055712938308716,1.925339937210083
